# TCVN 6056 to Unicode mappings compiled from multiple versions of the Unihan database from
#   Unicode 3.1.1 or later. The character encoding described is incompatible with the one
#   described by Unihan databases from Unicode 3.1.0 or earlier; presumably the newer data is
#   the correct data.
#
0x5077	U+582A
0x5078	U+582F
0x5079	U+5831
0x507A	U+5834
0x507B	U+5837
0x507C	U+584A
0x507D	U+5857
0x507E	U+585E
0x5121	U+586B
0x5122	U+5875
0x5123	U+587E
0x5124	U+5883
0x5125	U+5885
0x5126	U+5886
0x5127	U+5893
0x5128	U+589C
0x5129	U+589E
0x512A	U+58AE
0x512B	U+58B3
0x512C	U+58BB
0x512D	U+58BE
0x512E	U+58C1
0x512F	U+58C7
0x5130	U+58D1
0x5131	U+58D3
0x5132	U+58D5
0x5133	U+58D8
0x5134	U+58D9
0x5135	U+58DE
0x5136	U+58DF
0x5137	U+58E2
0x5138	U+58E4
0x5139	U+58EB
0x513A	U+58EC
0x513B	U+58EF
0x513C	U+58F9
0x513D	U+58FB
0x513E	U+58FC
0x513F	U+58FD
0x5140	U+590D
0x5141	U+5915
0x5142	U+5916
0x5143	U+5919
0x5144	U+591A
0x5145	U+591C
0x5146	U+5927
0x5147	U+5929
0x5148	U+592A
0x5149	U+592B
0x514A	U+592D
0x514B	U+592E
0x514C	U+5931
0x514D	U+5937
0x514E	U+5938
0x514F	U+593E
0x5150	U+5944
0x5151	U+5947
0x5152	U+5948
0x5153	U+5949
0x5154	U+594F
0x5155	U+5951
0x5156	U+5962
0x5157	U+5967
0x5158	U+596A
0x5159	U+596C
0x515A	U+596E
0x515B	U+5973
0x515C	U+5974
0x515D	U+5976
0x515E	U+5978
0x515F	U+597D
0x5160	U+5982
0x5161	U+5983
0x5162	U+598D
0x5163	U+5992
0x5164	U+5993
0x5165	U+5996
0x5166	U+5999
0x5167	U+599D
0x5168	U+59A5
0x5169	U+59AE
0x516A	U+59AF
0x516B	U+59B2
0x516C	U+59B9
0x516D	U+59BB
0x516E	U+59BE
0x516F	U+59C8
0x5170	U+59CA
0x5171	U+59CB
0x5172	U+59D0
0x5173	U+59D1
0x5174	U+59D3
0x5175	U+59D4
0x5176	U+59DA
0x5177	U+59E4
0x5178	U+59E5
0x5179	U+59E6
0x517A	U+59EA
0x517B	U+59FB
0x517C	U+59FF
0x517D	U+5A01
0x517E	U+5A13
0x5221	U+5A18
0x5222	U+5A1C
0x5223	U+5A25
0x5224	U+5A36
0x5225	U+5A41
0x5226	U+5A46
0x5227	U+5A49
0x5228	U+5A4D
0x5229	U+5A62
0x522A	U+5A66
0x522B	U+5A6D
0x522C	U+5A92
0x522D	U+5AA7
0x522E	U+5ABD
0x522F	U+5AC1
0x5230	U+5AC2
0x5231	U+5ACC
0x5232	U+5AD6
0x5233	U+5AD7
0x5234	U+5AE1
0x5235	U+5AE6
0x5236	U+5AE9
0x5237	U+5B0C
0x5238	U+5B16
0x5239	U+5B30
0x523A	U+5B38
0x523B	U+5B50
0x523C	U+5B54
0x523D	U+5B55
0x523E	U+5B57
0x523F	U+5B58
0x5240	U+5B5B
0x5241	U+5B5D
0x5242	U+5B5F
0x5243	U+5B63
0x5244	U+5B64
0x5245	U+5B65
0x5246	U+5B69
0x5247	U+5B6B
0x5248	U+5B78
0x5249	U+5B7A
0x524A	U+5B7D
0x524B	U+5B81
0x524C	U+5B87
0x524D	U+5B88
0x524E	U+5B89
0x524F	U+5B8B
0x5250	U+5B8C
0x5251	U+5B97
0x5252	U+5B98
0x5253	U+5B99
0x5254	U+5B9A
0x5255	U+5B9B
0x5256	U+5B9C
0x5257	U+5B9D
0x5258	U+5BA2
0x5259	U+5BA3
0x525A	U+5BA4
0x525B	U+5BAB
0x525C	U+5BB0
0x525D	U+5BB3
0x525E	U+5BB4
0x525F	U+5BB6
0x5260	U+5BB9
0x5261	U+5BBF
0x5262	U+5BC2
0x5263	U+5BC4
0x5264	U+5BC5
0x5265	U+5BC6
0x5266	U+5BC7
0x5267	U+5BCC
0x5268	U+5BD0
0x5269	U+5BD2
0x526A	U+5BD3
0x526B	U+5BD4
0x526C	U+5BDE
0x526D	U+5BDF
0x526E	U+5BE0
0x526F	U+5BE1
0x5270	U+5BE6
0x5271	U+5BE8
0x5272	U+5BE9
0x5273	U+5BEB
0x5274	U+5BEC
0x5275	U+5BF5
0x5276	U+5BF6
0x5277	U+5BF8
0x5278	U+5BF9
0x5279	U+5BFF
0x527A	U+5C01
0x527B	U+5C04
0x527C	U+5C07
0x527D	U+5C08
0x527E	U+5C0A
0x5321	U+5C0B
0x5322	U+5C0D
0x5323	U+5C0E
0x5324	U+5C0F
0x5325	U+5C11
0x5326	U+5C14
0x5327	U+5C16
0x5328	U+5C19
0x5329	U+5C1A
0x532A	U+5C38
0x532B	U+5C39
0x532C	U+5C3A
0x532D	U+5C3C
0x532E	U+5C3D
0x532F	U+5C3E
