# TCVN 5773 to Unicode mappings compiled from multiple versions of the Unihan database,
#   excluding those for the Compatibility Ideographs Supplement Unicode block.
#
0x3654	U+61DE
0x3655	U+228C2
0x3656	U+228AF
0x3657	U+22889
0x3658	U+228C4
0x3659	U+228C6
0x365A	U+2291C
0x365B	U+228F8
0x365C	U+61E6
0x365D	U+2291E
0x365E	U+22920
0x365F	U+22922
0x3660	U+22923
0x3661	U+22945
0x3662	U+22947
0x3663	U+2292B
0x3664	U+2293D
0x3665	U+22949
0x3666	U+228E7
0x3667	U+22956
0x3668	U+22962
0x3669	U+2296A
0x366A	U+22976
0x366B	U+22A03
0x366C	U+22A35
0x366D	U+22A5B
0x366E	U+22A67
0x366F	U+6252
0x3670	U+6255
0x3671	U+39C5
0x3672	U+6254
0x3673	U+22A7D
0x3674	U+6271
0x3675	U+6262
0x3676	U+6268
0x3677	U+22A7F
0x3678	U+22A6D
0x3679	U+625C
0x367A	U+6266
0x367B	U+62B8
0x367C	U+6283
0x367D	U+6272
0x367E	U+626F
0x3721	U+22A89
0x3722	U+628C
0x3723	U+627D
0x3724	U+6289
0x3725	U+22AAE
0x3726	U+6288
0x3727	U+6287
0x3728	U+39CD
0x3729	U+22AAF
0x372A	U+22AB1
0x372B	U+22A8F
0x372C	U+22AE3
0x372D	U+62CC
0x372E	U+62AA
0x372F	U+22B04
0x3730	U+62C8
0x3731	U+22AD9
0x3732	U+62C1
0x3733	U+22AC8
0x3734	U+62BE
0x3735	U+62C9
0x3736	U+22ADB
0x3737	U+22ADD
0x3738	U+22ADF
0x3739	U+22AC6
0x373A	U+62EE
0x373B	U+22B17
0x373C	U+6317
0x373D	U+22B22
0x373E	U+62F5
0x373F	U+62EB
0x3740	U+22B25
0x3741	U+62F7
0x3742	U+22B26
0x3743	U+39EF
0x3744	U+22B27
0x3745	U+22B6B
0x3746	U+6315
0x3747	U+62F0
0x3748	U+22B28
0x3749	U+22B29
0x374A	U+6304
0x374B	U+22B05
0x374C	U+6312
0x374D	U+22AEB
0x374E	U+6337
0x374F	U+6311
0x3750	U+6305
0x3751	U+6360
0x3752	U+634C
0x3753	U+22B6E
0x3754	U+22BAD
0x3755	U+632D
0x3756	U+6338
0x3757	U+22B74
0x3758	U+6343
0x3759	U+22B57
0x375A	U+6335
0x375B	U+6334
0x375C	U+3A18
0x375D	U+22B23
0x375E	U+6358
0x375F	U+635B
0x3760	U+22B42
0x3761	U+22B78
0x3762	U+6364
0x3763	U+22B72
0x3764	U+632C
0x3765	U+6347
0x3766	U+22B7B
0x3767	U+22BCF
0x3768	U+39FC
0x3769	U+22BD2
0x376A	U+6391
0x376B	U+22BA9
0x376C	U+3A02
0x376D	U+63A9
0x376E	U+39FE
0x376F	U+22BD6
0x3770	U+22BE6
0x3771	U+637D
0x3772	U+637B
0x3773	U+6371
0x3774	U+22BDA
0x3775	U+22B7F
0x3776	U+22BBF
0x3777	U+22B91
0x3778	U+22BE1
0x3779	U+22BE2
0x377A	U+6365
0x377B	U+63DE
0x377C	U+22C4E
0x377D	U+63D5
0x377E	U+63EC
0x3821	U+3A14
0x3822	U+22C50
0x3823	U+22BF0
0x3824	U+22C52
0x3825	U+22C56
0x3826	U+22BE4
0x3827	U+63BF
0x3828	U+22C5A
0x3829	U+63C1
0x382A	U+22CA2
0x382B	U+63FE
0x382C	U+22C5B
0x382D	U+641D
0x382E	U+641E
0x382F	U+6406
0x3830	U+22CA5
0x3831	U+6408
0x3832	U+640E
0x3833	U+22CA7
0x3834	U+641B
0x3835	U+22CA8
0x3836	U+642E
0x3837	U+22CAB
0x3838	U+3A22
0x3839	U+3183B
0x383A	U+22CAD
0x383B	U+22CAE
0x383C	U+6413
0x383D	U+640A
0x383E	U+22C78
0x383F	U+6453
0x3840	U+22D07
0x3841	U+22D0A
0x3842	U+22CE5
0x3843	U+22D0D
0x3844	U+647A
0x3845	U+3A36
0x3846	U+22D4B
0x3847	U+22D11
0x3848	U+22D4C
0x3849	U+649F
0x384A	U+647C
0x384B	U+22D16
0x384C	U+6473
0x384D	U+22D19
0x384E	U+6459
0x384F	U+645F
0x3850	U+6471
0x3851	U+22CD9
0x3852	U+646A
0x3853	U+22D3E
0x3854	U+22D3F
0x3855	U+22DA2
0x3856	U+22DB7
0x3857	U+22D67
0x3858	U+64B4
0x3859	U+6488
0x385A	U+22D6F
0x385B	U+6494
0x385C	U+648E
0x385D	U+648C
0x385E	U+6485
0x385F	U+22D6E
0x3860	U+22D75
0x3861	U+649D
0x3862	U+22D29
0x3863	U+22D7C
0x3864	U+64B2
0x3865	U+22D78
0x3866	U+22D49
0x3867	U+22DBB
0x3868	U+3A52
0x3869	U+22DBE
0x386A	U+64DB
0x386B	U+22DC0
0x386C	U+22DC1
0x386D	U+22DC3
0x386E	U+64C3
0x386F	U+64C9
0x3870	U+22DC5
0x3871	U+22DC6
0x3872	U+22DE3
0x3873	U+22DEE
0x3874	U+64F1
0x3875	U+3A5C
0x3876	U+22DF0
0x3877	U+22DF4
0x3878	U+22DF5
0x3879	U+64FA
0x387A	U+3A67
0x387B	U+22E35
0x387C	U+22E4C
0x387D	U+3A61
0x387E	U+3A6B
0x3921	U+22E20
