# "VHN 01:1998" to Unicode mappings compiled from multiple versions of the Unihan database,
#   excluding those for the Compatibility Ideographs Supplement Unicode block.
0x755E	U+22758
0x755F	U+226B7
0x7560	U+226B9
0x7562	U+226BC
0x7563	U+226BD
0x7564	U+60B1
0x7565	U+22717
0x7566	U+22722
0x7567	U+394B
0x7568	U+2270F
0x7569	U+2267D
0x756A	U+22773
0x756B	U+2275A
0x756C	U+2275B
0x756D	U+2275C
0x756E	U+27710
0x756F	U+396C
0x7570	U+227CF
0x7571	U+227D2
0x7572	U+611C
0x7573	U+227D5
0x7574	U+227D7
0x7575	U+227D8
0x7576	U+227D9
0x7577	U+227DA
0x7578	U+227DB
0x7579	U+3984
0x757A	U+227F9
0x757B	U+22805
0x757C	U+22806
0x757D	U+22807
0x757E	U+22808
0x7621	U+22809
0x7623	U+22884
0x7624	U+22885
0x7625	U+227DF
0x7626	U+22882
0x7627	U+22888
0x7628	U+2288A
0x7629	U+2288B
0x762A	U+228C0
0x762B	U+228C3
0x762C	U+228C5
0x762E	U+228C7
0x762F	U+228C8
0x7630	U+61E8
0x7631	U+61D9
0x7632	U+2291D
0x7633	U+2291F
0x7634	U+22921
0x7635	U+22946
0x7636	U+22948
0x7637	U+22963
0x7638	U+22982
0x7639	U+22984
0x763A	U+22A49
0x763B	U+22A4A
0x763C	U+22A64
0x763D	U+6256
0x763E	U+22A6A
0x763F	U+22A6E
0x7640	U+22A7E
0x7641	U+22A80
0x7642	U+22A97
0x7643	U+22AAD
0x7644	U+22AB0
0x7645	U+22AB2
0x7647	U+22AD1
0x7648	U+22AC3
0x7649	U+22AB3
0x764A	U+22AB7
0x764B	U+22AD6
0x764C	U+22AA5
0x764D	U+22ADA
0x764E	U+22ADC
0x764F	U+22ADE
0x7650	U+22AE0
0x7651	U+22AE1
0x7652	U+62E7
0x7653	U+22ACC
0x7654	U+22AD5
0x7655	U+22AD7
0x7656	U+22B24
0x7657	U+22B10
0x7658	U+22B07
0x7659	U+22B2D
0x765A	U+22B2E
0x765B	U+39F5
0x765C	U+39F6
0x765D	U+22B39
0x765E	U+22B3F
0x765F	U+22B6C
0x7660	U+22B6F
0x7661	U+22B73
0x7662	U+22B75
0x7663	U+22B77
0x7664	U+22B79
0x7665	U+22B7A
0x7666	U+22B7C
0x7667	U+22B7D
0x7668	U+22B5C
0x7669	U+22B6D
0x766A	U+22B70
0x766B	U+22B5D
0x766C	U+22B76
0x766D	U+22BAA
0x766E	U+22BD0
0x766F	U+22BD3
0x7670	U+22BD7
0x7671	U+22B31
0x7672	U+22BDC
0x7673	U+22BDE
0x7674	U+22BE0
0x7675	U+22B7E
0x7676	U+63B8
0x7677	U+22BAB
0x7678	U+22B80
0x7679	U+22BD4
0x767A	U+22BD8
0x767B	U+22BF7
0x767C	U+22BE8
0x767D	U+63B7
0x767E	U+22C53
0x7721	U+22C57
0x7722	U+22C59
0x7723	U+22C33
0x7724	U+22C3D
0x7725	U+22C5C
0x7726	U+22BEE
0x7727	U+22C25
0x7728	U+22C4F
0x7729	U+22C3A
0x772A	U+22C54
0x772B	U+22C58
0x772C	U+3A32
0x772E	U+22BE5
0x772F	U+22CDE
0x7730	U+22C9D
0x7731	U+22C94
0x7732	U+22CA6
0x7733	U+645B
0x7734	U+22CA9
0x7735	U+22CAC
0x7736	U+22C5E
0x7737	U+22C9B
0x7738	U+22CAF
0x7739	U+22CC6
0x773A	U+22C9F
0x773B	U+22CA3
0x773C	U+22CB2
0x773D	U+22C5D
0x773E	U+22CAA
0x773F	U+22C68
0x7740	U+22CE0
0x7741	U+22CB5
0x7742	U+22CC1
0x7743	U+647D
0x7744	U+22D0B
0x7745	U+6429
0x7746	U+22D0E
0x7747	U+22D10
0x7748	U+22D12
0x7749	U+22D14
0x774A	U+22D17
0x774B	U+22D1A
0x774D	U+22D09
0x774E	U+22D0C
0x774F	U+22CB1
0x7750	U+22D0F
0x7751	U+22CF3
0x7752	U+22D13
0x7753	U+22D15
0x7754	U+22D18
0x7755	U+22D1B
0x7757	U+22D68
0x7758	U+22D6A
0x7759	U+22D6D
0x775A	U+22D70
0x775B	U+22D72
0x775C	U+22D1D
0x775D	U+22D79
0x775E	U+22D1E
0x775F	U+22D7B
0x7760	U+22DA5
0x7761	U+6481
0x7762	U+22D6B
0x7763	U+22D6E
0x7764	U+22D71
0x7765	U+22D73
0x7766	U+22D76
0x7767	U+22D82
0x7768	U+3A54
0x7769	U+22D90
0x776A	U+22DB6
0x776B	U+22DB9
0x776C	U+22DBC
0x776D	U+22DBF
0x776E	U+649B
0x776F	U+22DC2
0x7770	U+22DC4
0x7771	U+22D92
0x7772	U+22D7D
0x7773	U+22BE7
0x7774	U+22DEF
0x7775	U+22DF1
0x7776	U+22D9F
0x7777	U+22E1A
0x7778	U+22E1C
0x7779	U+22E46
0x777A	U+22E47
