# "Hán Nôm Coded Character Repertoire 2007" to Unicode mappings compiled from multiple versions
#   of the Unihan database.
#
0x4B5A	U+2AD04
0x4B5C	U+2AD09
0x4B5D	U+2C139
0x4B5E	U+2C140
0x4B5F	U+2AD0F
0x4B60	U+2C142
0x4B61	U+2C149
0x4B62	U+2AD1E
0x4B63	U+2C153
0x4B64	U+2C167
0x4B65	U+2C173
0x4B66	U+2C17D
0x4B67	U+2AD39
0x4B68	U+2C183
0x4B69	U+2C184
0x4B6A	U+2C185
0x4B6B	U+2AD3B
0x4B6C	U+2C188
0x4B6D	U+2AD3D
0x4B6E	U+2C186
0x4B6F	U+2C18E
0x4B71	U+2C192
0x4B72	U+2C197
0x4B73	U+2AD45
0x4B74	U+2C198
0x4B75	U+2C19C
0x4B76	U+2AD4C
0x4B78	U+2C1B8
0x4B79	U+2AD5A
0x4B7A	U+2C1C1
0x4B7C	U+2AD5F
0x4B7D	U+31964
0x4B7E	U+2AD60
0x4C21	U+2C1C6
0x4C22	U+2C1C5
0x4C24	U+2C1C9
0x4C25	U+2C1CB
0x4C26	U+2C1CF
0x4C27	U+2AD64
0x4C28	U+2C1D1
0x4C29	U+2AD66
0x4C2A	U+2C1D2
0x4C2B	U+2AD67
0x4C2C	U+285F5
0x4C2D	U+6C54
0x4C2E	U+2AD6C
0x4C2F	U+2AD6F
0x4C30	U+2C1DA
0x4C31	U+2AD70
0x4C32	U+2AD72
0x4C33	U+2AD78
0x4C34	U+2C1EE
0x4C35	U+2C1EB
0x4C37	U+2AD8A
0x4C38	U+306FB
0x4C39	U+2AD8E
0x4C3A	U+2C1F8
0x4C3B	U+2AD8F
0x4C3C	U+2C208
0x4C3D	U+2AD9A
0x4C3E	U+2C209
0x4C3F	U+2AD9B
0x4C40	U+2C217
0x4C41	U+2AD9F
0x4C42	U+2C20E
0x4C43	U+2ADA9
0x4C44	U+2C20B
0x4C45	U+2C21A
0x4C46	U+2ADBC
0x4C47	U+2C21E
0x4C48	U+2C213
0x4C49	U+2ADB5
0x4C4A	U+2C222
0x4C4B	U+6DC3
0x4C4C	U+2C224
0x4C4D	U+2ADBE
0x4C4E	U+2ADAD
0x4C50	U+2ADC3
0x4C51	U+2C22D
0x4C52	U+2ADC4
0x4C53	U+2C230
0x4C54	U+2C23F
0x4C55	U+2ADC9
0x4C56	U+2C22B
0x4C57	U+2C234
0x4C58	U+2C23A
0x4C59	U+2ADD4
0x4C5A	U+2C24C
0x4C5B	U+2C23C
0x4C5C	U+2ADD7
0x4C5D	U+2C23D
0x4C5E	U+2ADD8
0x4C5F	U+2C246
0x4C60	U+2ADDE
0x4C61	U+2C24A
0x4C62	U+2ADE1
0x4C63	U+2C24E
0x4C64	U+2ADE5
0x4C66	U+2ADE7
0x4C67	U+2ADE9
0x4C68	U+2ADEA
0x4C6A	U+2ADEE
0x4C6B	U+2C259
0x4C6C	U+2C25A
0x4C6D	U+2ADF0
0x4C6E	U+2ADF4
0x4C6F	U+2C25D
0x4C70	U+2ADF6
0x4C71	U+2C263
0x4C73	U+2ADF9
0x4C74	U+31A81
0x4C75	U+32AAE
0x4C76	U+32AAF
0x4C78	U+2AE01
0x4C79	U+2C26A
0x4C7A	U+2AE04
0x4C7C	U+2AE0A
0x4C7D	U+2C270
0x4D21	U+31AA4
0x4D22	U+9626
0x4D23	U+2C275
0x4D24	U+2C27D
0x4D25	U+2AE14
0x4D26	U+2AE18
0x4D27	U+2AE1D
0x4D28	U+2C281
0x4D29	U+2AE1F
0x4D2A	U+32ADA
0x4D2B	U+2AE27
0x4D2C	U+2C28A
0x4D2D	U+2C290
0x4D2E	U+24247
0x4D2F	U+2AE2F
0x4D30	U+2C2A8
0x4D32	U+2C2A0
0x4D33	U+2C3B6
