# KPS 9566-2011? to Unicode mapping table
# From a built-in table in Red Star OS 3.0 desktop
# Text encoding: UTF-8

0x859C	U+B1BE	# 놾
0x859D	U+B1BF	# 놿
0x859E	U+B1C0	# 뇀
0x859F	U+B1C1	# 뇁
0x85A0	U+B1C2	# 뇂
0x85A1	U+B1C3	# 뇃
0x85A2	U+B1C5	# 뇅
0x85A3	U+B1C6	# 뇆
0x85A4	U+B1C7	# 뇇
0x85A5	U+B1C8	# 뇈
0x85A6	U+B1C9	# 뇉
0x85A7	U+B1CA	# 뇊
0x85A8	U+B1CB	# 뇋
0x85A9	U+B1B2	# 놲
0x85AA	U+B1C4	# 뇄
0x85AB	U+B23D	# 눽
0x85AC	U+B23F	# 눿
0x85AD	U+B240	# 뉀
0x85AE	U+B241	# 뉁
0x85AF	U+B242	# 뉂
