03-49	0x2351	0xA3D1	U+FF31	# Ｑ
03-50	0x2352	0xA3D2	U+FF32	# Ｒ
03-51	0x2353	0xA3D3	U+FF33	# Ｓ
03-52	0x2354	0xA3D4	U+FF34	# Ｔ
03-53	0x2355	0xA3D5	U+FF35	# Ｕ
03-54	0x2356	0xA3D6	U+FF36	# Ｖ
03-55	0x2357	0xA3D7	U+FF37	# Ｗ
03-56	0x2358	0xA3D8	U+FF38	# Ｘ
03-57	0x2359	0xA3D9	U+FF39	# Ｙ
03-58	0x235A	0xA3DA	U+FF3A	# Ｚ
03-59	0x235B	0xA3DB	U+FF3B	# ［
03-60	0x235C	0xA3DC	U+FF3C	# ＼
03-61	0x235D	0xA3DD	U+FF3D	# ］
03-62	0x235E	0xA3DE	U+FF3E	# ＾
03-63	0x235F	0xA3DF	U+FF3F	# ＿
03-64	0x2360	0xA3E0	U+FF40	# ｀
03-65	0x2361	0xA3E1	U+FF41	# ａ
03-66	0x2362	0xA3E2	U+FF42	# ｂ
03-67	0x2363	0xA3E3	U+FF43	# ｃ
03-68	0x2364	0xA3E4	U+FF44	# ｄ
03-69	0x2365	0xA3E5	U+FF45	# ｅ
03-70	0x2366	0xA3E6	U+FF46	# ｆ
03-71	0x2367	0xA3E7	U+FF47	# ｇ
03-72	0x2368	0xA3E8	U+FF48	# ｈ
03-73	0x2369	0xA3E9	U+FF49	# ｉ
03-74	0x236A	0xA3EA	U+FF4A	# ｊ
03-75	0x236B	0xA3EB	U+FF4B	# ｋ
03-76	0x236C	0xA3EC	U+FF4C	# ｌ
03-77	0x236D	0xA3ED	U+FF4D	# ｍ
03-78	0x236E	0xA3EE	U+FF4E	# ｎ
03-79	0x236F	0xA3EF	U+FF4F	# ｏ
03-80	0x2370	0xA3F0	U+FF50	# ｐ
03-81	0x2371	0xA3F1	U+FF51	# ｑ
03-82	0x2372	0xA3F2	U+FF52	# ｒ
03-83	0x2373	0xA3F3	U+FF53	# ｓ
03-84	0x2374	0xA3F4	U+FF54	# ｔ
03-85	0x2375	0xA3F5	U+FF55	# ｕ
03-86	0x2376	0xA3F6	U+FF56	# ｖ
03-87	0x2377	0xA3F7	U+FF57	# ｗ
03-88	0x2378	0xA3F8	U+FF58	# ｘ
03-89	0x2379	0xA3F9	U+FF59	# ｙ
03-90	0x237A	0xA3FA	U+FF5A	# ｚ
03-91	0x237B	0xA3FB	U+FF5B	# ｛
03-92	0x237C	0xA3FC	U+FF5C	# ｜
