Sun Jan 26 12:50:40 2020    stats.pstats

         14385086 function calls (14330813 primitive calls) in 116.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/hangulfillers.py:45(<genexpr>)
        1    0.000    0.000    0.000    0.000 :0(utf_8_encode)
        3    0.000    0.000    0.000    0.000 :0(exec_builtin)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp437.py:9(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/codecs.py:1050(make_identity_dict)
        2    0.000    0.000    0.000    0.000 :0(rfind)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_8_sig.py:14(encode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/pprint.py:99(__init__)
        2    0.000    0.000    0.000    0.000 :0(decode)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/controlstrings.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/tokenfeed.py:9(<module>)
        1    0.000    0.000    2.273    2.273 /usr/lib/python3.6/pprint.py:138(pprint)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_32_be.py:28(getregentry)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/invocations.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_16_le.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/csisequences.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/gbhalfcodes.py:11(<module>)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/bigfivefilter.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_8_sig.py:121(getregentry)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/gbkfilter.py:11(<module>)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/plainextasciifilter.py:17(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:960(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp437.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_32_le.py:28(getregentry)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/uhcfilter.py:11(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/iso8859_5.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_16_be.py:33(getregentry)
        1    0.000    0.000   78.989   78.989 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/graphsets.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/big5.py:30(getregentry)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/shift_jis_2004.py:30(getregentry)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/hangulfillers.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/gb2312.py:30(getregentry)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_jp.py:30(getregentry)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/escsequences.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/iso2022_jp_ext.py:30(getregentry)
        1    0.000    0.000    2.273    2.273 /usr/lib/python3.6/pprint.py:47(pprint)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_kr.py:30(getregentry)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp932.py:30(getregentry)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp949.py:30(getregentry)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp1252.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_jis_2004.py:30(getregentry)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/gb18030.py:30(getregentry)
        1    0.000    0.000    1.401    1.401 /usr/lib/python3.6/pprint.py:207(_pprint_list)
        1    0.000    0.000   34.565   34.565 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/gccsequences.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/big5hkscs.py:30(getregentry)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/posixpath.py:64(isabs)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/singlebyte/sbmapparsers.py:9(<module>)
        3    0.000    0.000    0.000    0.000 :0(charmap_build)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/fixedcontrols.py:11(_proc_pu)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/koi8_r.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_32_le.py:3(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/encodings/utf_16_le.py:8(<module>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(create_module)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_16_be.py:8(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_8_sig.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/fixedcontrols.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_32_be.py:3(<module>)
        7    0.000    0.000    0.000    0.000 :0(exec_dynamic)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/koi8_r.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/iso8859_5.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_jp.py:7(<module>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/posixpath.py:376(abspath)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/big5.py:7(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/gb18030.py:7(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp1252.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/shift_jis_2004.py:7(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp932.py:7(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_jis_2004.py:7(<module>)
        1    0.000    0.000   79.007   79.007 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/controlsets.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/codecs.py:1058(<dictcomp>)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.6/encodings/cp949.py:7(<module>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/posixpath.py:154(dirname)
        1    0.000    0.000    0.001    0.001 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/multibyte/mbmapparsers.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/pprint.py:98(PrettyPrinter)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.6/encodings/euc_kr.py:7(<module>)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.6/encodings/big5hkscs.py:7(<module>)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/encodings/gb2312.py:7(<module>)
        1    0.000    0.000  116.812  116.812 profile:0(<code object <module> at 0x7f888b4eb9c0, file "test.py", line 9>)
        4    0.000    0.000    0.000    0.000 :0(charmap_encode)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.6/encodings/iso2022_jp_ext.py:7(<module>)
       20    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/multibyte/korea.py:37(<genexpr>)
       22    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/multibyte/korea.py:39(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp437.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/pprint.py:35(<module>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       13    0.000    0.000    0.000    0.000 :0(is_builtin)
       28    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/multibyte/korea.py:41(<genexpr>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/ast.py:26(<module>)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
       20    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/multibyte/korea.py:38(<genexpr>)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       22    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/multibyte/korea.py:40(<genexpr>)
       62    0.000    0.000    0.000    0.000 :0(items)
       21    0.000    0.000    0.000    0.000 :0(__new__)
       28    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/multibyte/korea.py:42(<genexpr>)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
       36    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
        1    0.000    0.000   78.987   78.987 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/graphdata.py:10(<module>)
       40    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/simpleprinter.py:20(<genexpr>)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/controldata.py:28(<module>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/posixpath.py:338(normpath)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
        7    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:919(create_module)
       19    0.000    0.000    0.000    0.000 :0(getcwd)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
       11    0.000    0.000    0.006    0.001 :0(getcodec)
       62    0.000    0.000    0.000    0.000 /usr/lib/python3.6/codecs.py:259(__init__)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       67    0.000    0.000    0.000    0.000 :0(index)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
        1    0.000    0.000    0.022    0.022 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/singlebyte/ecma43.py:9(<module>)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(_find_parent_path_names)
       56    0.000    0.000    0.000    0.000 :0(to_bytes)
        1    0.000    0.000    0.000    0.000 :0(setprofile)
       28    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:373(_calc_mode)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.6/codecs.py:93(__new__)
        3    0.000    0.000    0.000    0.000 :0(create_builtin)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       72    0.000    0.000    0.000    0.000 :0(from_bytes)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
       75    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
       72    0.000    0.000    0.000    0.000 :0(is_frozen)
       34    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        3    0.000    0.000    0.000    0.000 :0(update)
       26    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:993(__iter__)
      125    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/singlebyte/plainext.py:51(<genexpr>)
       28    0.000    0.000    0.045    0.002 <frozen importlib._bootstrap_external>:735(source_to_code)
