# Unicode equivalents for the list markers encoding which has portions included in various
#   variants of the ChinaSea Big-5 extension set.

0x98A3	U+F866+005B+0036+0035+005D	# inverse [65]
0x98A4	U+F866+005B+0036+0036+005D	# inverse [66]
0x98A5	U+F866+005B+0036+0037+005D	# inverse [67]
0x98A6	U+F866+005B+0036+0038+005D	# inverse [68]
0x98A7	U+F866+005B+0036+0039+005D	# inverse [69]
0x98A8	U+F866+005B+0037+0030+005D	# inverse [70]
0x98A9	U+F866+005B+0037+0031+005D	# inverse [71]
0x98AA	U+F866+005B+0037+0032+005D	# inverse [72]
0x98AB	U+F866+005B+0037+0033+005D	# inverse [73]
0x98AC	U+F866+005B+0037+0034+005D	# inverse [74]
0x98AD	U+F866+005B+0037+0035+005D	# inverse [75]
0x98AE	U+F866+005B+0037+0036+005D	# inverse [76]
0x98AF	U+F866+005B+0037+0037+005D	# inverse [77]
0x98B0	U+F866+005B+0037+0038+005D	# inverse [78]
0x98B1	U+F866+005B+0037+0039+005D	# inverse [79]
0x98B2	U+F866+005B+0038+0030+005D	# inverse [80]
0x98B3	U+F866+005B+0038+0031+005D	# inverse [81]
0x98B4	U+F866+005B+0038+0032+005D	# inverse [82]
0x98B5	U+F866+005B+0038+0033+005D	# inverse [83]
0x98B6	U+F866+005B+0038+0034+005D	# inverse [84]
0x98B7	U+F866+005B+0038+0035+005D	# inverse [85]
0x98B8	U+F866+005B+0038+0036+005D	# inverse [86]
0x98B9	U+F866+005B+0038+0037+005D	# inverse [87]
0x98BA	U+F866+005B+0038+0038+005D	# inverse [88]
0x98BB	U+F866+005B+0038+0039+005D	# inverse [89]
0x98BC	U+F866+005B+0039+0030+005D	# inverse [90]
0x98BD	U+F866+005B+0039+0031+005D	# inverse [91]
0x98BE	U+F866+005B+0039+0032+005D	# inverse [92]
0x98BF	U+F866+005B+0039+0033+005D	# inverse [93]
0x98C0	U+F866+005B+0039+0034+005D	# inverse [94]
0x98C1	U+F866+005B+0039+0035+005D	# inverse [95]
0x98C2	U+F866+005B+0039+0036+005D	# inverse [96]
0x98C3	U+F866+005B+0039+0037+005D	# inverse [97]
0x98C4	U+F866+005B+0039+0038+005D	# inverse [98]
0x98C5	U+F866+005B+0039+0039+005D	# inverse [99]
0x98C6	U+E997	# inverse [100]
0x98C7	U+24B6+F875	# inverse Ⓐ
0x98C8	U+24B7+F875	# inverse Ⓑ
0x98C9	U+24B8+F875	# inverse Ⓒ
0x98CA	U+24B9+F875	# inverse Ⓓ
0x98CB	U+24BA+F875	# inverse Ⓔ
0x98CC	U+24BB+F875	# inverse Ⓕ
0x98CD	U+24BC+F875	# inverse Ⓖ
0x98CE	U+24BD+F875	# inverse Ⓗ
0x98CF	U+24BE+F875	# inverse Ⓘ
0x98D0	U+24BF+F875	# inverse Ⓙ
0x98D1	U+24C0+F875	# inverse Ⓚ
0x98D2	U+24C1+F875	# inverse Ⓛ
0x98D3	U+24C2+F875	# inverse Ⓜ
0x98D4	U+24C3+F875	# inverse Ⓝ
0x98D5	U+24C4+F875	# inverse Ⓞ
0x98D6	U+24C5+F875	# inverse Ⓟ
0x98D7	U+24C6+F875	# inverse Ⓠ
0x98D8	U+24C7+F875	# inverse Ⓡ
0x98D9	U+24C8+F875	# inverse Ⓢ
0x98DA	U+24C9+F875	# inverse Ⓣ
0x98DB	U+24CA+F875	# inverse Ⓤ
0x98DC	U+24CB+F875	# inverse Ⓥ
0x98DD	U+24CC+F875	# inverse Ⓦ
0x98DE	U+24CD+F875	# inverse Ⓧ
0x98DF	U+24CE+F875	# inverse Ⓨ
0x98E0	U+24CF+F875	# inverse Ⓩ
0x98E1	U+24D0+F875	# inverse ⓐ
0x98E2	U+24D1+F875	# inverse ⓑ
0x98E3	U+24D2+F875	# inverse ⓒ
0x98E4	U+24D3+F875	# inverse ⓓ
0x98E5	U+24D4+F875	# inverse ⓔ
0x98E6	U+24D5+F875	# inverse ⓕ
0x98E7	U+24D6+F875	# inverse ⓖ
0x98E8	U+24D7+F875	# inverse ⓗ
0x98E9	U+24D8+F875	# inverse ⓘ
0x98EA	U+24D9+F875	# inverse ⓙ
0x98EB	U+24DA+F875	# inverse ⓚ
0x98EC	U+24DB+F875	# inverse ⓛ
0x98ED	U+24DC+F875	# inverse ⓜ
0x98EE	U+24DD+F875	# inverse ⓝ
0x98EF	U+24DE+F875	# inverse ⓞ
0x98F0	U+24DF+F875	# inverse ⓟ
0x98F1	U+24E0+F875	# inverse ⓠ
0x98F2	U+24E1+F875	# inverse ⓡ
0x98F3	U+24E2+F875	# inverse ⓢ
0x98F4	U+24E3+F875	# inverse ⓣ
0x98F5	U+24E4+F875	# inverse ⓤ
0x98F6	U+24E5+F875	# inverse ⓥ
0x98F7	U+24E6+F875	# inverse ⓦ
0x98F8	U+24E7+F875	# inverse ⓧ
0x98F9	U+24E8+F875	# inverse ⓨ
0x98FA	U+24E9+F875	# inverse ⓩ
0x9940	U+F861+0028+0030+0029	# (0)
0x9941	U+2474	# ⑴
0x9942	U+2475	# ⑵
0x9943	U+2476	# ⑶
0x9944	U+2477	# ⑷
0x9945	U+2478	# ⑸
0x9946	U+2479	# ⑹
0x9947	U+247A	# ⑺
0x9948	U+247B	# ⑻
0x9949	U+247C	# ⑼
0x994A	U+247D	# ⑽
0x994B	U+247E	# ⑾
0x994C	U+247F	# ⑿
0x994D	U+2480	# ⒀
0x994E	U+2481	# ⒁
0x994F	U+2482	# ⒂
0x9950	U+2483	# ⒃
0x9951	U+2484	# ⒄
0x9952	U+2485	# ⒅
0x9953	U+2486	# ⒆
0x9954	U+2487	# ⒇
0x9955	U+F862+0028+0032+0031+0029	# (21)
0x9956	U+F862+0028+0032+0032+0029	# (22)
0x9957	U+F862+0028+0032+0033+0029	# (23)
0x9958	U+F862+0028+0032+0034+0029	# (24)
0x9959	U+F862+0028+0032+0035+0029	# (25)
0x995A	U+F862+0028+0032+0036+0029	# (26)
0x995B	U+F862+0028+0032+0037+0029	# (27)
0x995C	U+F862+0028+0032+0038+0029	# (28)
0x995D	U+F862+0028+0032+0039+0029	# (29)
