# Unicode equivalents for the hanzi encoding which has portions included in various variants
#   of the ChinaSea Big-5 extension set, prioritising the 黑體 variant of the extensions in places
#   where different variants of the ChinaSea extensions use the same position for different hanzi.

0x84C2	U+5907	# 备
0x84C3	U+4F27	# 伧
0x84C4	U+4F1E	# 伞
0x84C5	U+51EF	# 凯
0x84C6	U+5240	# 剀
0x84C7	U+521B	# 创
0x84C8	U+52B3	# 劳
0x84C9	U+52CB	# 勋
0x84CA	U+4E27	# 丧
0x84CB	U+5355	# 单
0x84CC	U+54DF	# 哟
0x84CD	U+5524	# 唤
0x84CE	U+4E54	# 乔
0x84CF	U+56F4	# 围
0x84D0	U+5C27	# 尧
0x84D1	U+573A	# 场
0x84D2	U+62A5	# 报
0x84D3	U+57DA	# 埚
0x84D4	U+58F6	# 壶
0x84D5	U+5A32	# 娲
0x84D6	U+5BFB	# 寻
0x84D7	U+5C9A	# 岚
0x84D8	U+5E27	# 帧
0x84D9	U+5E0F	# 帏
0x84DA	U+5395	# 厕
0x84DB	U+53A9	# 厩
0x84DC	U+6076	# 恶
0x84DD	U+95F7	# 闷
0x84DE	U+60EC	# 惬
0x84DF	U+607B	# 恻
0x84E0	U+607C	# 恼
0x84E1	U+62E3	# 拣
0x84E2	U+6325	# 挥
0x84E3	U+6362	# 换
0x84E4	U+626C	# 扬
0x84E5	U+67A3	# 枣
0x84E6	U+680B	# 栋
0x84E7	U+6808	# 栈
0x84E8	U+94A6	# 钦
0x84E9	U+6B8B	# 残
0x84EA	U+58F3	# 壳
0x84EB	U+6C2F	# 氯
0x84EC	U+6C29	# 氩
0x84ED	U+6D8C	# 涌
0x84EE	U+51D1	# 凑
0x84EF	U+6E6E	# 湮
0x84F0	U+6DA1	# 涡
0x84F1	U+6C64	# 汤
0x84F2	U+6D4B	# 测
0x84F3	U+6D51	# 浑
0x84F4	U+6DA3	# 涣
0x84F5	U+65E0	# 无
0x84F6	U+72B9	# 犹
0x84F7	U+82CF	# 苏
0x84F8	U+753B	# 画
0x84F9	U+75C9	# 痉
0x84FA	U+53D1	# 发
0x84FB	U+76D7	# 盗
0x84FC	U+781A	# 砚
0x84FD	U+79C6	# 秆
0x84FE	U+7A97	# 窗
0x8540	U+7B14	# 笔
0x8541	U+7B0B	# 笋
0x8542	U+7EDE	# 绞
0x8543	U+7ED3	# 结
0x8544	U+7ED2	# 绒
0x8545	U+7EDD	# 绝
0x8546	U+4E1D	# 丝
0x8547	U+7EDC	# 络
0x8548	U+7ED9	# 给
0x8549	U+7EDA	# 绚
0x854A	U+7ED6	# 绖
0x854B	U+7EDB	# 绛
0x854C	U+8083	# 肃
0x854D	U+80BE	# 肾
0x854E	U+80C0	# 胀
