0x6F4A55	U+AE7C	# HANGUL SYLLABLE GGAESS
0x6F4A56	U+AE7D	# HANGUL SYLLABLE GGAENG
0x6F4A57	U+AE84	# HANGUL SYLLABLE GGYA
0x6F4A58	U+AE85	# HANGUL SYLLABLE GGYAG
0x6F4A59	U+AEBC	# HANGUL SYLLABLE GGEO
0x6F4A5A	U+AEBD	# HANGUL SYLLABLE GGEOG
0x6F4A5B	U+AEBE	# HANGUL SYLLABLE GGEOGG
0x6F4A5C	U+AEC0	# HANGUL SYLLABLE GGEON
0x6F4A5D	U+AEC4	# HANGUL SYLLABLE GGEOL
0x6F4A5E	U+AECC	# HANGUL SYLLABLE GGEOM
0x6F4A5F	U+AECD	# HANGUL SYLLABLE GGEOB
0x6F4A60	U+AECF	# HANGUL SYLLABLE GGEOS
0x6F4A61	U+AED0	# HANGUL SYLLABLE GGEOSS
0x6F4A62	U+AED1	# HANGUL SYLLABLE GGEONG
0x6F4A63	U+AED8	# HANGUL SYLLABLE GGE
0x6F4A64	U+AEDC	# HANGUL SYLLABLE GGEN
0x6F4A65	U+AEF4	# HANGUL SYLLABLE GGYEO
0x6F4A66	U+AF0D	# HANGUL SYLLABLE GGYEOT
0x6F4A67	U+AF2C	# HANGUL SYLLABLE GGO
0x6F4A68	U+AF2D	# HANGUL SYLLABLE GGOG
0x6F4A69	U+AF30	# HANGUL SYLLABLE GGON
0x6F4A6A	U+AF34	# HANGUL SYLLABLE GGOL
0x6F4A6B	U+AF3C	# HANGUL SYLLABLE GGOM
0x6F4A6C	U+AF3D	# HANGUL SYLLABLE GGOB
0x6F4A6D	U+AF3F	# HANGUL SYLLABLE GGOS
0x6F4A6E	U+AF41	# HANGUL SYLLABLE GGONG
0x6F4A6F	U+AF42	# HANGUL SYLLABLE GGOJ
0x6F4A70	U+AF43	# HANGUL SYLLABLE GGOC
0x6F4A71	U+AF48	# HANGUL SYLLABLE GGWA
0x6F4A72	U+AF49	# HANGUL SYLLABLE GGWAG
0x6F4A73	U+AF4C	# HANGUL SYLLABLE GGWAN
0x6F4A74	U+AF58	# HANGUL SYLLABLE GGWAM
0x6F4A75	U+AF5C	# HANGUL SYLLABLE GGWASS
0x6F4A76	U+AF5D	# HANGUL SYLLABLE GGWANG
0x6F4A77	U+AF64	# HANGUL SYLLABLE GGWAE
0x6F4A78	U+AF65	# HANGUL SYLLABLE GGWAEG
0x6F4A79	U+AF79	# HANGUL SYLLABLE GGWAENG
0x6F4A7A	U+AF80	# HANGUL SYLLABLE GGOE
0x6F4A7B	U+AF84	# HANGUL SYLLABLE GGOEN
0x6F4A7C	U+AF88	# HANGUL SYLLABLE GGOEL
0x6F4A7D	U+AF90	# HANGUL SYLLABLE GGOEM
0x6F4A7E	U+AF95	# HANGUL SYLLABLE GGOENG
0x6F4B21	U+AF9C	# HANGUL SYLLABLE GGYO
0x6F4B22	U+AFB8	# HANGUL SYLLABLE GGU
0x6F4B23	U+AFB9	# HANGUL SYLLABLE GGUG
0x6F4B24	U+AFBC	# HANGUL SYLLABLE GGUN
0x6F4B25	U+AFC0	# HANGUL SYLLABLE GGUL
0x6F4B26	U+AFC7	# HANGUL SYLLABLE GGULH
0x6F4B27	U+AFC8	# HANGUL SYLLABLE GGUM
0x6F4B28	U+AFC9	# HANGUL SYLLABLE GGUB
0x6F4B29	U+AFCB	# HANGUL SYLLABLE GGUS
0x6F4B2A	U+AFCD	# HANGUL SYLLABLE GGUNG
0x6F4B2B	U+AFCE	# HANGUL SYLLABLE GGUJ
