# Mapping for the PostScript variant of MacJapanese.
#
# For purposes of interoperability with Apple software, the below mapping is intended to match the
# output produced by Apple's own libraries when either PostScript variant of MacJapanese is
# converted. Not having access to the original Classic Mac equipment or printers, I cannot vouch
# for its historicity.
#
# This shows in general a greater affinity to NEC-C-6226 than to normal MacJapanese, but it has
# Apple-style vertical forms (including those of the NEC square Katakana abbreviations) in place of
# the NEC-selected IBM extensions, and also omits the halfwidth NEC extensions (and the Heisei era
# monogram, which presumably wouldn't have been included in NEC kit produced in the Shouwa era
# anyway, hence also its allocation separate from the other three in NEC-C-6226 / Windows-31J).
#
0xDB	U+ff9b	# 13/11, HALFWIDTH KATAKANA LETTER RO
0xDC	U+ff9c	# 13/12, HALFWIDTH KATAKANA LETTER WA
0xDD	U+ff9d	# 13/13, HALFWIDTH KATAKANA LETTER N
0xDE	U+ff9e	# 13/14, HALFWIDTH KATAKANA VOICED SOUND MARK
0xDF	U+ff9f	# 13/15, HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
#
0x8140	U+3000	# 1-1, IDEOGRAPHIC SPACE
0x8141	U+3001	# 1-2, IDEOGRAPHIC COMMA
0x8142	U+3002	# 1-3, IDEOGRAPHIC FULL STOP
0x8143	U+ff0c	# 1-4, FULLWIDTH COMMA
0x8144	U+ff0e	# 1-5, FULLWIDTH FULL STOP
0x8145	U+30fb	# 1-6, KATAKANA MIDDLE DOT
0x8146	U+ff1a	# 1-7, FULLWIDTH COLON
0x8147	U+ff1b	# 1-8, FULLWIDTH SEMICOLON
0x8148	U+ff1f	# 1-9, FULLWIDTH QUESTION MARK
0x8149	U+ff01	# 1-10, FULLWIDTH EXCLAMATION MARK
0x814A	U+309b	# 1-11, KATAKANA-HIRAGANA VOICED SOUND MARK
0x814B	U+309c	# 1-12, KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
0x814C	U+00b4	# 1-13, ACUTE ACCENT
0x814D	U+ff40	# 1-14, FULLWIDTH GRAVE ACCENT
0x814E	U+00a8	# 1-15, DIAERESIS
0x814F	U+ff3e	# 1-16, FULLWIDTH CIRCUMFLEX ACCENT
0x8150	U+ffe3	# 1-17, FULLWIDTH MACRON
0x8151	U+ff3f	# 1-18, FULLWIDTH LOW LINE
0x8152	U+30fd	# 1-19, KATAKANA ITERATION MARK
0x8153	U+30fe	# 1-20, KATAKANA VOICED ITERATION MARK
0x8154	U+309d	# 1-21, HIRAGANA ITERATION MARK
0x8155	U+309e	# 1-22, HIRAGANA VOICED ITERATION MARK
0x8156	U+3003	# 1-23, DITTO MARK
0x8157	U+4edd	# 1-24, CJK UNIFIED IDEOGRAPH-4EDD
0x8158	U+3005	# 1-25, IDEOGRAPHIC ITERATION MARK
0x8159	U+3006	# 1-26, IDEOGRAPHIC CLOSING MARK
0x815A	U+3007	# 1-27, IDEOGRAPHIC NUMBER ZERO
0x815B	U+30fc	# 1-28, KATAKANA-HIRAGANA PROLONGED SOUND MARK
0x815C	U+2014	# 1-29, EM DASH
0x815D	U+2010	# 1-30, HYPHEN
0x815E	U+ff0f	# 1-31, FULLWIDTH SOLIDUS
0x815F	U+ff3c	# 1-32, FULLWIDTH REVERSE SOLIDUS
0x8160	U+301c	# 1-33, WAVE DASH
0x8161	U+2016	# 1-34, DOUBLE VERTICAL LINE
0x8162	U+ff5c	# 1-35, FULLWIDTH VERTICAL LINE
0x8163	U+2026	# 1-36, HORIZONTAL ELLIPSIS
0x8164	U+2025	# 1-37, TWO DOT LEADER
0x8165	U+2018	# 1-38, LEFT SINGLE QUOTATION MARK
0x8166	U+2019	# 1-39, RIGHT SINGLE QUOTATION MARK
0x8167	U+201c	# 1-40, LEFT DOUBLE QUOTATION MARK
0x8168	U+201d	# 1-41, RIGHT DOUBLE QUOTATION MARK
0x8169	U+ff08	# 1-42, FULLWIDTH LEFT PARENTHESIS
0x816A	U+ff09	# 1-43, FULLWIDTH RIGHT PARENTHESIS
0x816B	U+3014	# 1-44, LEFT TORTOISE SHELL BRACKET
0x816C	U+3015	# 1-45, RIGHT TORTOISE SHELL BRACKET
0x816D	U+ff3b	# 1-46, FULLWIDTH LEFT SQUARE BRACKET
0x816E	U+ff3d	# 1-47, FULLWIDTH RIGHT SQUARE BRACKET
0x816F	U+ff5b	# 1-48, FULLWIDTH LEFT CURLY BRACKET
0x8170	U+ff5d	# 1-49, FULLWIDTH RIGHT CURLY BRACKET
0x8171	U+3008	# 1-50, LEFT ANGLE BRACKET
0x8172	U+3009	# 1-51, RIGHT ANGLE BRACKET
0x8173	U+300a	# 1-52, LEFT DOUBLE ANGLE BRACKET
0x8174	U+300b	# 1-53, RIGHT DOUBLE ANGLE BRACKET
0x8175	U+300c	# 1-54, LEFT CORNER BRACKET
0x8176	U+300d	# 1-55, RIGHT CORNER BRACKET
0x8177	U+300e	# 1-56, LEFT WHITE CORNER BRACKET
0x8178	U+300f	# 1-57, RIGHT WHITE CORNER BRACKET
0x8179	U+3010	# 1-58, LEFT BLACK LENTICULAR BRACKET
0x817A	U+3011	# 1-59, RIGHT BLACK LENTICULAR BRACKET
0x817B	U+ff0b	# 1-60, FULLWIDTH PLUS SIGN
0x817C	U+2212	# 1-61, MINUS SIGN
0x817D	U+00b1	# 1-62, PLUS-MINUS SIGN
0x817E	U+00d7	# 1-63, MULTIPLICATION SIGN
0x8180	U+00f7	# 1-64, DIVISION SIGN
0x8181	U+ff1d	# 1-65, FULLWIDTH EQUALS SIGN
0x8182	U+2260	# 1-66, NOT EQUAL TO
0x8183	U+ff1c	# 1-67, FULLWIDTH LESS-THAN SIGN
0x8184	U+ff1e	# 1-68, FULLWIDTH GREATER-THAN SIGN
