0x2423	U+3137	# HANGUL LETTER TIKEUT
0x2424	U+3139	# HANGUL LETTER RIEUL
0x2425	U+3141	# HANGUL LETTER MIEUM
0x2426	U+3142	# HANGUL LETTER PIEUP
0x2427	U+3145	# HANGUL LETTER SIOS
0x2428	U+3147	# HANGUL LETTER IEUNG
0x2429	U+3148	# HANGUL LETTER CIEUC
0x242A	U+314A	# HANGUL LETTER CHIEUCH
0x242B	U+314B	# HANGUL LETTER KHIEUKH
0x242C	U+314C	# HANGUL LETTER THIEUTH
0x242D	U+314D	# HANGUL LETTER PHIEUPH
0x242E	U+314E	# HANGUL LETTER HIEUH
0x242F	U+3132	# HANGUL LETTER SSANGKIYEOK
0x2430	U+3138	# HANGUL LETTER SSANGTIKEUT
0x2431	U+3143	# HANGUL LETTER SSANGPIEUP
0x2432	U+3146	# HANGUL LETTER SSANGSIOS
0x2433	U+3149	# HANGUL LETTER SSANGCIEUC
0x2434	U+314F	# HANGUL LETTER A
0x2435	U+3151	# HANGUL LETTER YA
0x2436	U+3153	# HANGUL LETTER EO
0x2437	U+3155	# HANGUL LETTER YEO
0x2438	U+3157	# HANGUL LETTER O
0x2439	U+315B	# HANGUL LETTER YO
0x243A	U+315C	# HANGUL LETTER U
0x243B	U+3160	# HANGUL LETTER YU
0x243C	U+3161	# HANGUL LETTER EU
0x243D	U+3163	# HANGUL LETTER I
0x243E	U+3150	# HANGUL LETTER AE
0x243F	U+3152	# HANGUL LETTER YAE
0x2440	U+3154	# HANGUL LETTER E
0x2441	U+3156	# HANGUL LETTER YE
0x2442	U+315A	# HANGUL LETTER OE
0x2443	U+315F	# HANGUL LETTER WI
0x2444	U+3162	# HANGUL LETTER YI
0x2445	U+3158	# HANGUL LETTER WA
0x2446	U+315D	# HANGUL LETTER WEO
0x2447	U+3159	# HANGUL LETTER WAE
0x2448	U+315E	# HANGUL LETTER WE
0x2449	U+3133	# HANGUL LETTER KIYEOK-SIOS
0x244A	U+3135	# HANGUL LETTER NIEUN-CIEUC
0x244B	U+3136	# HANGUL LETTER NIEUN-HIEUH
0x244C	U+313A	# HANGUL LETTER RIEUL-KIYEOK
0x244D	U+313B	# HANGUL LETTER RIEUL-MIEUM
0x244E	U+313C	# HANGUL LETTER RIEUL-PIEUP
0x244F	U+313D	# HANGUL LETTER RIEUL-SIOS
0x2450	U+313E	# HANGUL LETTER RIEUL-THIEUTH
0x2451	U+313F	# HANGUL LETTER RIEUL-PHIEUPH
0x2452	U+3140	# HANGUL LETTER RIEUL-HIEUH
0x2453	U+3144	# HANGUL LETTER PIEUP-SIOS
0x2454	U+317F	# HANGUL LETTER PANSIOS
0x2455	U+3181	# HANGUL LETTER YESIEUNG
0x2456	U+3186	# HANGUL LETTER YEORINHIEUH
0x2457	U+318D	# HANGUL LETTER ARAEA
0x2458	U+113C	# HANGUL CHOSEONG CHITUEUMSIOS
0x2459	U+113D	# HANGUL CHOSEONG CHITUEUMSSANGSIOS
0x245A	U+113E	# HANGUL CHOSEONG CEONGCHIEUMSIOS
0x245B	U+113F	# HANGUL CHOSEONG CEONGCHIEUMSSANGSIOS
0x245C	U+114E	# HANGUL CHOSEONG CHITUEUMCIEUC
0x245D	U+114F	# HANGUL CHOSEONG CHITUEUMSSANGCIEUC
0x245E	U+1150	# HANGUL CHOSEONG CEONGCHIEUMCIEUC
0x245F	U+1151	# HANGUL CHOSEONG CEONGCHIEUMSSANGCIEUC
0x2460	U+1154	# HANGUL CHOSEONG CHITUEUMCHIEUCH
0x2461	U+1155	# HANGUL CHOSEONG CEONGCHIEUMCHIEUCH
0x2468	U+AE40+F87C	# <F113>
0x2469	U+C77C+F87C	# <F114>
0x246A	U+C131+F87C	# <F115>
0x246B	U+AE40+F87C	# <F116>
0x246C	U+C815+F87C	# <F117>
0x246D	U+C77C+F87C	# <F118>
0x246E	U+AE40+F87C	# <F120>
0x246F	U+C815+F87C	# <F121>
0x2470	U+C740+F87C	# <F122>
