0xED9F	U+26cc	# 90-1, CROSSING LANES
0xEF42	U+322c	# 93-3, PARENTHESIZED IDEOGRAPH WATER
0xEF43	U+322d	# 93-4, PARENTHESIZED IDEOGRAPH WOOD
0xEF44	U+322e	# 93-5, PARENTHESIZED IDEOGRAPH METAL
0xEF45	U+322f	# 93-6, PARENTHESIZED IDEOGRAPH EARTH
0xEF46	U+3230	# 93-7, PARENTHESIZED IDEOGRAPH SUN
0xEF47	U+3237	# 93-8, PARENTHESIZED IDEOGRAPH CONGRATULATION
0xEF48	U+337e	# 93-9, SQUARE ERA NAME MEIZI
0xEF49	U+337d	# 93-10, SQUARE ERA NAME TAISYOU
0xEF4A	U+337c	# 93-11, SQUARE ERA NAME SYOUWA
0xEF4B	U+337b	# 93-12, SQUARE ERA NAME HEISEI
0xEF4C	U+2116	# 93-13, NUMERO SIGN
0xEF4D	U+2121	# 93-14, TELEPHONE SIGN
0xEF4E	U+3036	# 93-15, CIRCLED POSTAL MARK
0xEF4F	U+26be	# 93-16, BASEBALL
0xEF50	U+1f240	# 93-17, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-672C
0xEF51	U+1f241	# 93-18, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-4E09
0xEF52	U+1f242	# 93-19, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-4E8C
0xEF53	U+1f243	# 93-20, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-5B89
0xEF54	U+1f244	# 93-21, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-70B9
0xEF55	U+1f245	# 93-22, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6253
0xEF56	U+1f246	# 93-23, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-76D7
0xEF57	U+1f247	# 93-24, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-52DD
0xEF58	U+1f248	# 93-25, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6557
0xEF59	U+1f12a	# 93-26, TORTOISE SHELL BRACKETED LATIN CAPITAL LETTER S
0xEF5A	U+1f227	# 93-27, SQUARED CJK UNIFIED IDEOGRAPH-6295
0xEF5B	U+1f228	# 93-28, SQUARED CJK UNIFIED IDEOGRAPH-6355
0xEF5C	U+1f229	# 93-29, SQUARED CJK UNIFIED IDEOGRAPH-4E00
0xEF5D	U+1f214	# 93-30, SQUARED CJK UNIFIED IDEOGRAPH-4E8C
