# Mapping for the non-Kanji, non-Hangul part of the Chinese Character Code for Information
#   Interchange (CCCII), otherwise known as the East Asian Character Code (EACC).
#   Those plane 73 mappings which can just be passed through to a JIS X 0208 table are omitted.
#   (I am aware that the non-Kanji part includes duplicates of certain Kanji.)
#
# Sources consulted (and referenced below):
#   Koha Taiwan supplied Encode::HanExtra mappings:
#     https://metacpan.org/source/AUDREYT/Encode-HanExtra-0.23
#   Library of Congress mappings:
#     http://memory.loc.gov/diglib/codetables/eacc2uni.txt
#   Hong Kong University mappings:
#     http://hkiug-archive.lib.hku.hk/unicode/hkiug_cjk_codetable-1.0.5.html
#   BDF font distributed by Yasuoka-san:
#     http://kanji.zinbun.kyoto-u.ac.jp/~yasuoka/ftp/fonts/cccii64.bdf.Z
#   Ken Lunde's CJK Information Processing (O'Reilly), 2009 ed. (though this did not contribute
#     mapping information in any way)

# Mathematical part. Excluded entirely by the Library of Congress subset. The Hong Kong University
#   variant includes an entirely different layout in this row instead. I am deviating from the
#   Koha Taiwan supplied Encode::HanExtra mappings by using a different mapping of the angle
#   bracket characters, thus de-duplicating them from the JIS angle brackets in plane 73, which are
#   favoured by the other mappings. I am also adding mappings for the characters omitted by the 
#   Koha mapping.
0x212376	U+FF56	# FULLWIDTH LATIN SMALL LETTER V
0x212377	U+FF57	# FULLWIDTH LATIN SMALL LETTER W
0x212378	U+FF58	# FULLWIDTH LATIN SMALL LETTER X
0x212379	U+FF59	# FULLWIDTH LATIN SMALL LETTER Y
0x21237A	U+FF5A	# FULLWIDTH LATIN SMALL LETTER Z
0x21237B	U+FF5B	# FULLWIDTH LEFT CURLY BRACKET
0x21237C	U+FF5C	# FULLWIDTH VERTICAL LINE
0x21237D	U+FF5D	# FULLWIDTH RIGHT CURLY BRACKET
0x21237E	U+FF5E	# FULLWIDTH TILDE

# Internal use extensions used by the proprietary IME of the RLG RLIN system used by the Library of
#   Congress system. Only included in the Library of Congress variant, although the distinctive
#   mapping for the geta also finds its way into other mappings.
# These may all be mapped to the geta outside the RLIN IME, but 0x212A46 is specifically the geta.
0x212A21	U+E8D0	# (private use)
0x212A22	U+E8D1	# (private use)
0x212A23	U+E8D2	# (private use)
0x212A24	U+E8D3	# (private use)
0x212A25	U+E8D4	# (private use)
0x212A26	U+E8D5	# (private use)
0x212A28	U+E8D6	# (private use)
0x212A29	U+E8D7	# (private use)
0x212A2A	U+E8D8	# (private use)
0x212A2B	U+E8D9	# (private use)
0x212A2C	U+E8DA	# (private use)
0x212A2D	U+E8DB	# (private use)
0x212A2E	U+E8DC	# (private use)
0x212A2F	U+E8DD	# (private use)
0x212A30	U+E8DE	# (private use)
0x212A32	U+E8DF	# (private use)
0x212A33	U+E8E0	# (private use)
0x212A34	U+E8E1	# (private use)
0x212A35	U+E8E2	# (private use)
0x212A36	U+E8E3	# (private use)
0x212A37	U+E8E4	# (private use)
0x212A38	U+E8E5	# (private use)
0x212A39	U+E8E6	# (private use)
0x212A3A	U+E8E7	# (private use)
0x212A3B	U+E8E8	# (private use)
0x212A3C	U+E8E9	# (private use)
0x212A3D	U+E8EA	# (private use)
0x212A3E	U+E8EB	# (private use)
0x212A3F	U+E8EC	# (private use)
0x212A40	U+E8ED	# (private use)
0x212A41	U+E8EE	# (private use)
0x212A42	U+E8EF	# (private use)
0x212A43	U+E8F0	# (private use)
0x212A44	U+E8F1	# (private use)
0x212A45	U+E8F2	# (private use)
0x212A46	U+3013	# GETA MARK

# Thirty-five Chinese punctuation marks, presumably the 35 characters attributed to this 
#   row by Lunde? Library of Congress, and Hong Kong University following them, maps the square
#   brackets here, whereas Koha maps the tortoise brackets. The BDF font doesn't seem to make any
#   bracket square to begin with (displaying tortoises both here and in the ASCII-esque part).
# From 0x212B36 onward, the subset included by the Koha mappings and the subset included by the
#   Library of Congress and Hong Kong University mappings are entirely disjoint, due to the Koha
#   mappings missing out the fullwith ASCII (they assign ASCII to row 3) and the other two only
#   including fullwidth ASCII from that section.
0x212B21	U+FE35	# PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS
0x212B22	U+FE36	# PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS
0x212B23	U+FE41	# PRESENTATION FORM FOR VERTICAL LEFT CORNER BRACKET
0x212B24	U+FE42	# PRESENTATION FORM FOR VERTICAL RIGHT CORNER BRACKET
0x212B25	U+300C	# LEFT CORNER BRACKET
0x212B26	U+300D	# RIGHT CORNER BRACKET
0x212B27	U+FE33	# PRESENTATION FORM FOR VERTICAL LOW LINE
0x212B28	U+FF3F	# FULLWIDTH LOW LINE
