# CNS 11643 plane 19 (corresponding to the IRG/Unihan source prefix "T13-").
# This file includes both those listed as IRG sources in the Unihan database, and also those
#   withdrawn from IRG working sets as unifiable with existing characters.
#
0x3056	U+30C14
0x3057	U+3531
0x3058	U+30C15
0x3059	U+26AFF
0x305A	U+30C1D
0x305B	U+30C1E
0x305D	U+30C25
0x305E	U+30C23
0x305F	U+30C26
0x3060	U+30C27
0x3061	U+30C3D
0x3062	U+30C4B
0x3063	U+30C4E
0x3064	U+2E3D7
0x3065	U+83D3
0x3066	U+30C52
0x3067	U+8425
0x3068	U+30C5C
0x3069	U+30C64
0x306A	U+30C60
0x306B	U+2D8FA
0x306C	U+30C74
0x306D	U+30C83
0x306E	U+30C80
0x306F	U+30C93
0x3070	U+76C7
0x3071	U+2504B
0x3072	U+30CE7
0x3073	U+30CEA
0x3074	U+30CF0
0x3075	U+30D03
0x3076	U+30D0B
0x3077	U+3CC4
0x3078	U+30D2C
0x3079	U+30D30
0x307A	U+30D33
0x307C	U+30D41
0x307D	U+30D43
0x307E	U+30D90
0x3121	U+30362
0x3122	U+767B
0x3123	U+30D98
0x3124	U+30D9A
0x3125	U+30D9D
0x3126	U+4765
0x3127	U+30DB1
0x3128	U+30DB9
0x3129	U+30DB5
0x312A	U+30DB3
0x312B	U+30DC3
0x312C	U+30DC9
0x312D	U+30E44
0x312E	U+30EA5
0x312F	U+30EA6
0x3130	U+30EB0
0x3131	U+30EB4
0x3132	U+30035
0x3133	U+30EB5
0x3134	U+2CEFB
0x3135	U+30B7C
0x3136	U+4896
0x3137	U+284FC
0x3138	U+30EC4
0x3139	U+30EC8
0x313A	U+30ECD
0x313B	U+30EC9
0x313C	U+30ECC
0x313D	U+30ECB
0x313E	U+30ED2
0x313F	U+30EDF
0x3140	U+30EE3
0x3141	U+30EF0
0x3142	U+30F04
0x3143	U+31003
0x3144	U+3100C
0x3145	U+31016
0x3146	U+31019
0x3147	U+31020
0x3148	U+31033
0x3149	U+31046
0x314A	U+31053
0x314B	U+31057
0x314C	U+31095
0x314D	U+31098
0x314E	U+3109D
0x314F	U+31113
0x3150	U+3111F
0x3151	U+298FA
0x3152	U+31178
0x3153	U+3117B
0x3154	U+3117C
0x3155	U+31187
0x3156	U+305C0
0x3157	U+3121D
0x3158	U+3131B
0x3159	U+3134A
0x3164	U+6C10
0x3169	U+31968
0x316A	U+31969
0x316F	U+23C66
0x3224	U+5F8C
0x3226	U+3197F
0x3231	U+6CE1
0x3232	U+5305
0x3235	U+31982
0x3236	U+3197D
0x323D	U+31991
0x323F	U+31990
0x3240	U+2DC0F
0x3241	U+3198C
0x3246	U+3198D
0x324D	U+6CD3
0x3251	U+3CC5
0x3259	U+6D1B
0x325C	U+31992
0x325D	U+31993
0x325E	U+31998
0x325F	U+6D69
0x3263	U+3198E
0x3269	U+31987
0x326A	U+3197E
0x3273	U+3199F
0x3274	U+2DC17
0x3275	U+319A2
0x3277	U+2DC1A
0x3278	U+6C92
0x3279	U+6C92
0x327A	U+319A0
0x3323	U+319A9
0x3328	U+319A3
0x3329	U+6DF3
0x332A	U+319AA
0x332E	U+2DC26
0x3332	U+319A4
0x3335	U+319A5
0x333F	U+319A6
0x3342	U+31999
0x3343	U+319AB
0x3344	U+3199A
0x3345	U+3199B
0x3349	U+319C2
0x334C	U+23D26
0x334E	U+319B8
0x3350	U+319C3
0x335A	U+319B9
0x3362	U+319BA
0x3365	U+6DC5
0x3369	U+319BE
0x336C	U+319B4
0x3370	U+319CF
0x3374	U+319C4
0x3375	U+319BF
0x337C	U+319C5
0x337E	U+319B0
0x3423	U+319B1
0x3426	U+3072E
0x3427	U+319C6
0x3429	U+319BB
0x342B	U+319D5
0x342C	U+319E2
0x342D	U+319E9
0x342F	U+319F7
