# Rows 37 through 54 (obsolete syllable blocks unavailable in Johab) of KS X 1002 (KS C 5657)
# This is not an official table nor is it deployed in any other piece of software, which isn't
#   saying much, since (in stark contrast to its Japanese counterpart JIS X 0212) KS X 1002 is
#   basically vapourware, of mainly academic or hobbyist interest.

0x4C4E	U+BE44+11E7
0x4C4F	U+BE44+11EB
0x4C50	U+BE44+11F1
0x4C51	U+1108+119E
0x4C52	U+1108+119E+11AF
0x4C53	U+1108+119E+11B3
0x4C54	U+1108+11A1
0x4C55	U+1108+11A1+11A8
0x4C56	U+1108+11A1+11BC
0x4C57	U+BE60+11D9
0x4C58	U+BED0+11D9
0x4C59	U+BF08+11D9
0x4C5A	U+BF40+11D9
0x4C5B	U+BFCC+11D9
# 02-44-60 is effectively illegible.
0x4C5C	U+1123+1175
0x4C5D	U+1132+119E
0x4C5E	U+1132+119E+11AB
0x4C5F	U+1132+119E+11AF
0x4C60	U+1132+119E+11B7
0x4C61	U+1132+11A1
0x4C62	U+1132+11A1+11A8
0x4C63	U+1132+11A1+11AB
0x4C64	U+1132+11A1+11AF
0x4C65	U+1132+11A1+11BA
0x4C66	U+1132+11A1+11BC
0x4C67	U+1132+1161
0x4C68	U+1132+1161+11A8
0x4C69	U+1132+1161+11AB
0x4C6A	U+1132+1161+11AE
0x4C6B	U+1132+1161+11AF
0x4C6C	U+1132+1161+11B7
0x4C6D	U+1132+1161+11BA
0x4C6E	U+1132+1161+11BC
0x4C6F	U+1132+1162
0x4C70	U+1132+1162+11BA
0x4C71	U+1132+1163
0x4C72	U+1132+1163+11B7
0x4C73	U+1132+1165
0x4C74	U+1132+1165+11A8
0x4C75	U+1132+1165+11AB
0x4C76	U+1132+1165+11B8
0x4C77	U+1132+1165+11BA
0x4C78	U+1132+1165+11BC
0x4C79	U+1132+1166
0x4C7A	U+1132+1166+11B7
0x4C7B	U+1132+1167
0x4C7C	U+1132+1167+11B7
0x4C7D	U+1132+1167+11BA
0x4C7E	U+1132+1167+11C2
0x4D21	U+1132+1168
0x4D22	U+1132+1169
0x4D23	U+1132+1169+11A8
0x4D24	U+1132+1169+11AB
0x4D25	U+1132+1169+11AF
0x4D26	U+1132+1169+11B7
0x4D27	U+1132+1169+11B8
0x4D28	U+1132+1169+11BA
0x4D29	U+1132+1169+11E7
0x4D2A	U+1132+1169+11BC
0x4D2B	U+1132+116D
0x4D2C	U+1132+116E
0x4D2D	U+1132+116E+11A8
0x4D2E	U+1132+116E+11AB
0x4D2F	U+1132+116E+11AF
0x4D30	U+1132+116E+11B1
0x4D31	U+1132+116E+11B7
0x4D32	U+1132+116E+11BA
0x4D33	U+1132+116E+11BD
0x4D34	U+1132+116F
0x4D35	U+1132+1171
0x4D36	U+1132+1172
0x4D37	U+1132+1173
0x4D38	U+1132+1173+11A8
0x4D39	U+1132+1173+11AB
0x4D3A	U+1132+1173+11AF
0x4D3B	U+1132+1173+11B7
0x4D3C	U+1132+1174
0x4D3D	U+1132+1175
0x4D3E	U+1132+1175+11AB
0x4D3F	U+1132+1175+11AF
0x4D40	U+1132+1175+11BA
0x4D41	U+1132+1175+11C2
0x4D42	U+112B+119E
0x4D43	U+112B+119E+11AB
# 02-45-36 is barely legible.
0x4D44	U+112B+119E+11AF
0x4D45	U+112B+119E+11B0
0x4D46	U+112B+119E+11B2
0x4D47	U+112B+119E+11B3
0x4D48	U+112B+119E+11D9
0x4D49	U+112B+119E+11B7
0x4D4A	U+112B+11A1
0x4D4B	U+112B+11A1+11AB
0x4D4C	U+112B+1161
0x4D4D	U+112B+1161+11A8
0x4D4E	U+112B+1161+11AB
0x4D4F	U+112B+1161+11AE
0x4D50	U+112B+1161+11AF
